unix timestamp	doserate (uSv/h)	lat	lng	horizontal accuracy (radius of 68% confidence [m])	marker type (2-circle, 1-marker)	SE (1 Пѓ)[%]
1563529008	0.3595	53.664962769	37.133514404	5	2	11.май
1563529012	0.3707	53.664936066	37.133560181	6	2	11.0
1563529014	0.3684	53.664916992	37.133586884	5	2	11.май
1563529017	0.3595	53.664882660	37.133583069	5	2	11.май
1563529035	0.3841	53.664863586	37.133583069	5	2	10.авг
1563529049	0.3930	53.664882660	37.133605957	4	2	10.июл
1563529053	0.4555	53.664852142	37.133605957	5	2	09.сен
1563529165	0.3461	53.664836884	37.133590698	4	2	11.май
1563529173	0.3327	53.664833069	37.133621216	5	2	11.сен
1563529177	0.3885	53.664810181	37.133640289	5	2	10.июл
1563529181	0.3260	53.664783478	37.133686066	6	2	11.июл
1563529185	0.3729	53.664764404	37.133739471	6	2	11.май
1563529189	0.3885	53.664775848	37.133781433	5	2	10.июл
1563529205	0.2992	53.664798737	37.133789063	4	2	12.фев
1563529209	0.3260	53.664817810	37.133773804	3	2	12.фев
1563529213	0.3483	53.664848328	37.133789063	3	2	11.мар
1563529217	0.3952	53.664878845	37.133792877	3	2	11.янв
1563529221	0.3528	53.664901733	37.133792877	3	2	11.мар
1563529231	0.3751	53.664916992	37.133823395	3	2	11.мар
1563529235	0.3059	53.664936066	37.133857727	3	2	12.фев
1563529239	0.2903	53.664962769	37.133880615	3	2	13.май
1563529243	0.3617	53.664993286	37.133899689	3	2	11.янв
1563529247	0.3148	53.665016174	37.133914948	3	2	12.0
1563529251	0.3394	53.665027618	37.133941650	3	2	11.май
1563529257	0.3930	53.665008545	37.133972168	3	2	11.фев
1563529259	0.3573	53.664989471	37.133964539	4	2	11.фев
1563529263	0.3841	53.664962769	37.133972168	3	2	10.авг
1563529267	0.3416	53.664947510	37.133998871	3	2	11.июл
1563529271	0.3930	53.664932251	37.134037018	3	2	10.июл
1563529275	0.3729	53.664909363	37.134059906	3	2	11.мар
1563529279	0.3617	53.664886475	37.134082794	3	2	11.май
1563529283	0.3841	53.664871216	37.134101868	3	2	10.авг
1563529289	0.3573	53.664859772	37.134132385	3	2	11.фев
1563529293	0.3037	53.664871216	37.134181976	3	2	12.май
1563529297	0.3528	53.664882660	37.134227753	3	2	11.мар
1563529301	0.3439	53.664905548	37.134258270	3	2	11.апр
1563529305	0.3640	53.664897919	37.134304047	3	2	11.май
1563529309	0.2612	53.664901733	37.134334564	3	2	13.0
1563529313	0.3349	53.664878845	37.134365082	3	2	11.май
1563529315	0.3595	53.664859772	37.134357452	3	2	11.май
1563529319	0.3751	53.664844513	37.134323120	3	2	10.сен
1563529323	0.3282	53.664817810	37.134304047	3	2	12.апр
1563529325	0.4644	53.664806366	37.134277344	3	2	09.авг
